"hakikat","gerçek mahiyet, asıl, esas, içyüz"
"sıravâri","sıralı"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"muntazam","düzenli"
"kâinat","evren, yaratılmış herşey"
"Hâlık-ı Zülcelâl","haşmet sahibi yaratıcı Allah"
"evsâf-ı kemâl","mükemmel vasıflar, nitelikler, sıfatlar"
"tasdik","doğruluğunu kabul etmek, onaylamak"
"dalâlet","hak yoldan sapkınlık, inançsızlık"
"divane","delilik, akılsızlık"
"mecnunluk","delilik, akılsızlık"
"hezeyan","saçmalama"
"zerre","atom, maddenin en küçük parçası"
"ulûhiyet-i mutlaka","hiçbir kayda ve şarta bağlı olmaksızın ilâh olma, mutlak ilâhlık"
"zerre","atom, maddenin en küçük parçası"
"zerre","atom, maddenin en küçük parçası"
"masnu","sanat eseri"
"tarz-ı teşkilât","meydana geliş tarzı"
"suret","şekil, biçim"
"heyet","genel yapı, bütün"
"muhît","ihatalı, herşeyi kuşatan"
"kudret","güç, kuvvet, iktidar"
"mâlik","sahip"
"zerre","atom, maddenin en küçük parçası"
"kabil","mümkün, olabilir"
"muhtelif","çeşitli, ayrı ayrı"
"medar","dayanak, eksen"
"menşe","kaynak, esas"
"cihazat","donanım"
"tazammun","içermek, içine almak"
"tarz-ı teşkilât","meydana geliş tarzı"
"suret","şekil, biçim"
"kudret","güç, kuvvet, iktidar"
"mevcudat","varlıklar"
"aşikâre","açıkça"
"vahdâniyet","Allah'ın birliği"
"Hâlık","herşeyi yaratan Allah"
"has","özel, ait"
"ferman-ı zîşân","şan ve şeref sahibi buyruk"
"Vâhid-i Ehad","bir ve tek olan, birliği bütün varlıkları kuşattığı gibi herbir varlıkta da tecellî eden Allah"
"mevcudat","varlıklar"
"yâver-i ekrem","çok değerli, yüksek rütbeli memur"
"nişan","alâmet, işaret"
"has","özel, ait"
"bende","köle, kul"
"yâver-i ekrem","çok değerli, yüksek rütbeli memur"
"Resul-i Ekrem","Allah'ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"müzeyyen","süslenmiş"
"kâinat","evren, yaratılmış herşey"
"mukaddes","kutsal, her türlü kusur ve noksandan yüce"
"Sâni","herşeyi sanatla yaratan Allah"
"şems","güneş"
"elzem","çok lüzumlu"
"ziya","ışık"
"Ulûhiyet","ibadete ve itaat edilmeye layık olma, ilâhlık"
"nihayet","son"
"kemâl","mükemmellik, kusursuzluk"
"cemâl","güzellik"
"tarif edici","tanıtcı"
"cemâl","güzellik"
"kemâl-i san'at","sanattaki mükemmellik"
"enzar-ı dikkat","dikkatli bakışlar"
"celb","çekmek"
"dellâl","duyurucu, rehber"
"teşhir","sergileme"
"rububiyet-i âmme","Allah'ın bütün varlıklara yaratılış gayelerine ulaşmaları için muhtaç oldukları şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"saltanat-ı külliye","herşeyi kuşatan ve herşeye hükmeden egemenlik"
"cüz'iyat tabakatı","küçük varlıklardan oluşan varlık tabakaları"
"vahdâniyet","Allah'ın birliği"
"samedâniyet","herşey Kendisine muhtaç olduğu halde, Allah'ın hiçbir şeye muhtaç olmaması"
"zülcenâheyn","iki kanatlı; Allah katında kulların, kullar arasında Allah'ın elçisi"
"meb'us","görevli, temsilci"
"ubûdiyet-i külliye","büyük ve umumî kulluk"
"cihet","yön, taraf"
"kesret tabakatı","çokluk tabakaları; sayısız varlıklardan oluşan tabakalar"
"dergâh-ı İlâhîye","Allah'ın yüce katı"
"kurbiyet","Allah'a yakınlık"
"risalet","peygamberlik"
"cihet","yön, taraf"
"dergâh-ı İlâhî","Allah'ın yüce katı"
"kesret tabakatı","çokluk tabakaları; sayısız varlıklardan oluşan tabakalar"
"nihayet","son"
"hüsn-ü zâtî","kendisinde olan güzellik"
"cemâl","güzellik"
"mehasin","güzellikler"
"hüsn","güzellik"
"letaif","güzellikler, incelikler"
"âyine","ayna"
"habib","sevgili"
"resul","peygamber"
"habib","sevgili"
"ubûdiyet","kulluk"
"âyinedarlık","aynalık"
"resul","peygamber"
"mahlûkat","yaratıklar"
"cemâl-i esmâ","isimlerin güzelliği"
"acip","şaşırtıcı, hayret verici"
"mu'cize","bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şey"
"kıymettar","kıymetli, değerli"
"sarraf","anlayan, değer veren"
"tarif edici","tanıtıcı, açıklayıcı"
"vassaf","herşeyin vasıf ve özelliklerini bilen ve bildiren"
"teşhir","sergileme"
"enzar-ı halk","insanların dikkati"
"arz","sunma"
"izhar","gösterme"
"kemâlât","mükemmellikler, üstün özellikler"
"beyan","açıklama"
"irade","isteme, dileme"
"kâinat","evren, yaratılmış herşey"
"esmâ","isimler"
"kemâlât","mükemmellikler, üstün özellikler"
"masnuat","sanat eseri varlıklar"
"tezyin","süsleme, donatma"
"muallim","öğretmen"
"tayin","görevlendirme"
"kâinat","evren, yaratılmış herşey"
"kâinat","evren, yaratılmış herşey"
"tahavvülât","başkalaşmalar"
"maksat","amaç, gaye"
"müş'ir","bildiren, haber veren"
"tılsım-ı muğlâk","anlaşılması zor sır"
"mevcudat","varlıklar"
"sual-i müşkül","zor soru"
"muamma","anlamı gizli ve zor anlaşılır söz"
"masnuat","sanat eseri varlıklar"
"zîşuur","şuur sahibi, bilinçli"
"Sâni-i Zülcelâl","sonsuz büyüklük ve yücelik sahibi olan ve herşeyi san'atla yaratan Allah"
"mukabil","karşılık"
"zîşuur","şuur sahibi, bilinçli"
"marziyat","hoşa giden, razı olunan şeyler; Allah'ın razı olacağı şeyler"
"nev-i insan","insanlık, insan türü"
"şuur","bilinç, idrak, anlayış"
"kesret","çokluk"
"müptelâ","bağımlı, düşkün"
"istidat","yetenek, kabiliyet"
"ubûdiyet-i külliye","büyük ve umumî kulluk"
"müheyya","hazırlanmış"
"suret","şekil"
"muallim","öğreten, yetiştiren"
"kesret","çokluk"
"vahdet","birlik"
"vezaif-i nübüvvet","peygamberlik görevleri"
"burhan-ı kat'î","sağlam ve kesin delil"
"Ulûhiyet","ibadete ve itaat edilmeye layık olma, ilâhlık"
"risalet","peygamberlik"
"âlem","dünya"
"Muhammed-i Arabî","Arapların içinden çıkan peygamberimiz Muhammed (a.s.m.)"
"aleyhissalâtü vesselâm","Allah'ın salât ve selâmı onun üzerine olsun"
"beyan olunan","anlatılan, açıklanan"
"evsâf","vasıflar, özellikler, nitelikler"
"vezaif","vazifeler, görevler"
"ehil","layık"
"cami'","kapsamlı"
"zuhur","ortaya çıkma"
"rütbe-i risalet","peygamberlik rütbesi"
"vazife-i tebliğ","tebliğ vazifesi"
"elyak","daha layık"
"evfak","daha uygun"
"asla ve kat'a","asla, kesinlikle öyle değil"
"resul","peygamber"
"seyyid","efendi"
"enbiya","peygamberler"
"asfiya","Hz. Peygamberin çizgisinde yaşayan ilim ve takvâ sahibi büyük zâtlar"
"server","reis, baş"
"mukarrebîn","Allah'a ibadet ve dua yönüyle yakın olan büyük zâtlar"
"akreb","en yakın"
"mahlûkat","yaratıklar"
"ekmel","en mükemmel"
"mürşid","irşad eden, doğru yolu gösteren"
"ehl-i tahkik","gerçeği araştıran ve delilleriyle bilen âlimler"
"ittifak","birleşme, fikir birliği"
"şakk-ı kamer","Ay'ın ikiye bölünmesi mu'cizesi"
"bâliğ","ulaşan"
"mucizât","mu'cizeler, bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şeyler"
"had ve hesaba gelmez","sonsuz ve sınırsız olmak"
"delâil-i nübüvvet","peygamberlik delilleri"
"Kur'ân-ı Azîmüşşan","şanı yüce Kur'ân"
"bahr-i hakaik","hakikatler, gerçekler denizi"
"vech","yön, tarz"
"mucize-i kübrâ","en büyük mu'cize"
"risalet","peygamberlik"
"kâfi","yeterli"
"risale","küçük kitap"
"bilhassa","özellikle"
"karib","yakın"
"vücuh-u i'câz","mu'cizelik yönleri"
"azîm","büyük"
"muhasebe-i a'mâl","amellerin değerlendirilmesi"
"camiiyet-i fıtrat","yaratılışın kapsamlılığı"
"mevcudat","varlıklar"
"dellâl-ı saltanat-ı İlâhiye","Cenâb-ı Hakkın saltanatının, sınırsız egemenliğinin ilâncısı"
"ubûdiyet-i külliye","büyük ve umumî kulluk"
"mazhar","nail olmuş, şereflenmiş"
"ebedî","sonu olmayan, sonsuz"
"müstehak","layık, hak etmiş"
"Zira","çünkü"
"küfür","inkâr, inançsızlık"
"mektubât-ı Samedâniye","Allah tarafından gönderilmiş birer mektup gibi, şuur sahiplerine İlâhî san'atı anlatan eserler"
"kâinat","evren, yaratılmış herşey"
"dereke","aşağı derece"
"kâinat","evren, yaratılmış herşey"
"tahkir","hakaret, aşağılama"
"mevcudat","varlıklar"
"cilve","yansıma, görüntü"
"esmâ-i kudsiye-i İlâhiye","Allah'ın kutsal, her türlü kusur ve noksandan yüce olan isimleri"
"hakkaniyet","doğruluk, gerçeklik"
"sıdk","doğruluk"
"gayr-ı mütenahi","sonsuz"
"tekzip","yalanlama"
"nihayetsiz","sonsuz"
"Nihayetsiz","sonsuz"
"nihayetsiz","sonsuz"
"icab","gerektirmek"
"Suret","şekil, görüntü"
"cihetle","bakımdan"
"muvakkat","geçici"
"müstekar","yerleşmiş, sabit, kararlı"
"haşmet","büyüklük, görkem"
"mazhar","nail olmuş, şereflenmiş"
"saltanat-ı uzmâ","büyük saltanat, egemenlik"
"medar","dayanak, vesile"
"daimî","devamlı, sürekli"
"vech","yön"
"fâni","geçici, ölümlü"
"âlem","dünya"
"bâki","sürekli, kalıcı"
"Hâlık","herşeyi yaratan Allah"
"icad","var etme, yaratma"
"bâki","sürekli, kalıcı"
"âlem","dünya"
"icad","var etme, yaratma"
"bedî","benzersiz bir şekilde yoktan yaratan"
"zâil","gelip geçici"
"kâinat","evren, yaratılmış herşey"
"sermedî","devamlı, sürekli"
"Sâni","herşeyi sanatla yaratan Allah"
"halk","yaratmak"
"müstekar","yerleşmiş, sabit, kararlı"
"daimî","devamlı, sürekli"
"kâinat","evren, yaratılmış herşey"
"icad","var etme, yaratma"
"meşher","sergi, fuar"
"meydan-ı imtihan","imtihan meydanı"
"Hakîm","herşeyi hikmetle, belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde yaratan Allah"
"Kadîr","herşeye gücü yeten, sonsuz güç ve kudret sahibi Allah"
"Rahîm","sonsuz merhamet ve şefkat sahibi olan, acıyan ve esirgeyen Allah"
"Fâtır","benzeri olmayan şeyi harika üstün sanatıyla yaratan Allah"
"mazhar","sahip"
"dar-ı âhiret","âhiret yurdu"
"halk","yaratmak"
"Bâb","kapı"
"Rububiyet","Rablık; Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"Saltanat","egemenlik, hâkimiyet, sultanlık"
"cilve","yansıma, görüntü"
"şe'n-i Rububiyet","Cenâb-ı Allah'ın rububiyetinin gereği"
"saltanat-ı Ulûhiyet","ortak kabul etmeyen Allah'ın saltanatı, sınırsız egemenliği"
"bahusus","özellikle"
"kâinat","evren, yaratılmış herşey"
"kemâlât","mükemmellikler, kusursuzluklar, üstünlükler"
"âli","yüce, yüksek"
"icad","var etme, yaratma"
"gayât","gayeler"
"makàsıd","maksatlar, gayeler"
"ubûdiyet","kulluk"
"mukabele","karşılık veren"
"mü'min","iman etmiş, inanmış"
"mükâfat","ödül"
"makàsıd","maksatlar, gayeler"
"tahkir","hakaret, küçümseme"
"mukabele","karşılık veren"
"ehl-i dalâlet","hak yoldan sapmış, inançsız kimseler"
"mücazat","ceza verme"
"Bâb","kapı"
"Kerem","cömertlik, ikram, lütuf, bağış"
"Rahmet","şefkat, merhamet, ihsan, esirgeme"
"Kerîm","sınırsız ikram, ihsan ve cömertlik sahibi Allah"
"Rahîm","rahmeti herşeyi kuşatan, sonsuz şefkat ve merhamet sahibi olan Allah"
"cilve","yansıma, görüntü"
"âsâr","eserler"
"nihayetsiz","sonsuz"
"kerem","cömertlik, ikram, lütuf, bağış"
"nihayetsiz","sonsuz"
"rahmet","şefkat, merhamet, ihsan, esirgeme"
"nihayetsiz","sonsuz"
"izzet","değer, kıymet, şeref, yücelik"
"nihayetsiz","sonsuz"
"gayret","hamiyet, şeref, haysiyet"
"âlem","dünya"
"Rab","herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"kerem","cömertlik, ikram, lütuf, bağış"
"rahmet","şefkat, merhamet, ihsan, esirgeme"
"mükâfat","ödül"
"izzet","değer, kıymet, şeref, yücelik"
"gayret","hamiyet, şeref, haysiyet"
"şayeste","layık"
"mücazat","ceza verme"
"âciz","güçsüz"
"kavî","kuvvetli"
"âciz","güçsüz"
"derman","ilâç, güç, tâkat"
"ulvî","yüce, yüksek"
"kerem","cömertlik, ikram, lütuf, bağış"
"ikram","bağış, iyilik"
"nihayetsiz","sonsuz"
"kerem","cömertlik, ikram, lütuf, bağış"
"bedaheten","açıkça"
"sündüs-misal","ipekli elbise gibi"
"libas","elbise"
"murassaat","değerli mücevherlerle süslenmiş şeyler"
"lâtif","hoş, güzel"
"musannâ","sanatlı"
"takdim","sunma"
"libas","elbise"
"rahmet","şefkat, merhamet, ihsan, esirgeme"
"cemil","güzel"
"kerem","cömertlik, ikram, lütuf, bağış"
"lâtif","hoş, güzel"
"rahmet","şefkat, merhamet, ihsan, esirgeme"
"bedaheten","açıkça"
"arz","dünya"
"mahlûk","yaratık"
"kemâl-i dikkat","tam bir dikkat"
"zerrece","en küçük bir şekilde"
"haddinden tecavüz","haddi aşma, ileri gitme"
"azîm","çok büyük"
"heybet","saygıyla beraber korku duygusunu uyandıran hal, haşmet"
"tahtında","altında"
"umumî","genel"
"itaat","emre uyma, boyun eğme"
"celâl","haşmet, görkem, yücelik,"
"izzet","değer, kıymet, şeref, yücelik"
"nebatî","bitkisel"
"valide","anne"
"rahîm","merhametli, şefkatli"
"lâtif","hoş, güzel"
"âciz","güçsüz"
"rahmet","şefkat, merhamet, ihsan, esirgeme"
"cilve","yansıma, görüntü"
"bedaheten","açıkça"
"âlem","dünya"
"Mutasarrıf","sonsuz tasarruf hakkı ve yetkisi olan, her işi kendi istek ve kurallarına göre idare eden Allah"
"nihayetsiz","sonsuz"
"kerem","cömertlik, ikram, lütuf, bağış"
"nihayetsiz","sonsuz"
"rahmet","şefkat, merhamet, ihsan, esirgeme"
"nihayetsiz","sonsuz"
"celâl","haşmet, görkem, yücelik,"
"izzet","değer, kıymet, şeref, yücelik"
"Nihayetsiz","sonsuz"
"celâl","haşmet, görkem, yücelik,"
"izzet","değer, kıymet, şeref, yücelik"
"te'dib","edeplendirme, haddini bildirme"
"Nihayetsiz","sonsuz"
"kerem","cömertlik, ikram, lütuf, bağış"
"nihayetsiz","sonsuz"
"ikram","bağış, iyilik"
"Nihayetsiz","sonsuz"
"rahmet","şefkat, merhamet, ihsan, esirgeme"
"ihsan","bağış, iyilik"
"fâni","geçici, ölümlü"
"cüz","kısım, parça"
"cüz","kısım, parça"
"tecellî","yansıma"
"kerem","cömertlik, ikram, lütuf, bağış"
"rahmet","şefkat, merhamet, ihsan, esirgeme"
"şayeste","layık, uygun"
"dar-ı saadet","mutluluk yeri"
"vücud","varlık"
"inkâr","inanmamak, kabul etmemek, yok saymak"
"rahmet","şefkat, merhamet, ihsan, esirgeme"
"vücud","varlık"
"inkâr","inanmamak, kabul etmemek, yok saymak"
"zevâl","geçip gitme, kaybolma"
"muhabbet","sevgi"
"hırkat","ayrılık ateşi"
"nıkmet","sıkıntı, azap"
"meş'um","uğursuz"
"elem","acı, sıkıntı"
"kalb","dönüştürmek"
"hakikat-i rahmet","rahmetin aslı, esası, gerçek mahiyeti"
"intıfâ","sönme"
"celâl","haşmet, görkem, yücelik"
"izzet","değer, kıymet, şeref, yücelik"
"dar-ı mücazat","ceza yeri"
"ekseriya","çoğunlukla"
"izzet","değer, kıymet, şeref, yücelik"
"mazlum","zulme, haksızlığa uğrayan"
"zillet","hor, hakir, aşağılanma"
"Mahkeme-i Kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"tehir","ertelenmek"
"Kurûn-u sâlife","geçmiş çağlar"
"cereyan","meydana gelen"
"âsi","isyankâr, isyan eden"
"mütemerrid","inatçı, inanmamakta direnen"
"azap","acı, sıkıntı, ceza"
"celâl","haşmet, görkem, yücelik"
"gayret","şeref, haysiyet, izzet"
"sille","tokat, şamar"
"maruz","tesirinde ve karşısında olma"
"mevcudat","varlıklar"
"istidad","kabiliyet, yetenek"
"Rab","herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyi veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"muntazam","düzenli"
"masnuat","sanat eseri varlıklar"
"mukabil","karşılık"
"rahmet","şefkat, merhamet, ihsan, esirgeme"
"mukabil","karşılık"
"muhabbet","sevgi"
"rahmet","şefkat, merhamet, ihsan, esirgeme"
"mukabil","karşılık"
"hamd","övgü ve şükür"
"hürmet","saygı göstermek"
"izzet","değer, kıymet, şeref, yücelik"
"gayret","şeref, haysiyet, izzet"
"Zât-ı Zülcelâl","sonsuz haşmet ve yücelik sahibi Zât, Allah"
"dar-ı mücazat","ceza yeri"
"Rahmân-ı Rahîm","kullarına karşı sınırsız rahmet sahibi olan ve rahmetinin eserleri dünya ve âhireti dolduran Allah"
"mukabil","karşılık"
"mukabil","karşılık"
"rahmet","şefkat, merhamet, ihsan, esirgeme"
"mukabil","karşılık"
"hürmet","saygı göstermek"
"mü'min","iman etmiş, inanmış"
"dar-ı mükâfat","mükâfat, ödül yeri"
"saadet-i ebediye","sonu olmayan, sonsuz mutluluk"
"Bâb","kapı"
"Hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"Hakîm","herşeyi hikmetle, belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde yaratan Allah"
"cilve","yansıma, görüntü"
"zerre","atom, en küçük madde parçası"
"cereyan","meydana gelen"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"intizam","düzenlilik"
"mizan","ölçü, denge"
"Rububiyet","Rablık; Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"Zât-ı Zülcelâl","sonsuz haşmet ve yücelik sahibi Zât, Allah"
"Rububiyet","Rablık; Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"cenah-ı himaye","koruyucu kanat"
"iltica","sığınan"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"ubûdiyet","kulluk"
"tevfik-i hareket","uygun davranışta bulunan"
"mü'min","iman etmiş, inanmış"
"taltif","lütuf ve iyilikte bulunmak"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"küfür","inkâr, inançsızlık"
"tuğyan","taşkınlık, zulüm ve küfürde çok ileri gitme"
"te'dip","edeplendirme"
"muvakkat","geçici"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"icra","yerine getirilmek"
"tehir","ertelenmek, sonraya bırakılmak"
"Ehl-i dalâlet","hak yoldan sapmış, inançsız kimseler"
"ehl-i hidayet","doğru ve hak yolda olanlar"
"Mahkeme-i Kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"saadet-i uzmâ","en büyük mutluluk"
